Delta,J,J_term,M^2,Ms^2,N,binary,ground,ground_J=0,t
1.0204081632653061,0.02040816326530612,0.02040816326530612,0.0,1.0,10,0101010101,-1.265823621722257,-1.286231784987563,1
1.0612244897959182,0.02040816326530612,0.02040816326530612,0.0,1.0,8,10101010,-1.291808102227056,-1.3122162654923621,1
1.1020408163265305,0.02040816326530612,0.02040816326530612,0.0,1.0,6,010101,-1.3177925827318553,-1.3382007459971614,1
1.1428571428571428,0.02040816326530612,0.02040816326530612,0.0,1.0,8,10101010,-1.3437770632366544,-1.3641852265019605,1
1.183673469387755,0.02040816326530612,0.02040816326530612,0.0,1.0,10,0101010101,-1.3697615437414536,-1.3901697070067598,1
1.2244897959183672,0.02040816326530612,0.02040816326530612,0.0,1.0,8,01010101,-1.3957460242462527,-1.4161541875115589,1
1.2653061224489794,0.02040816326530612,0.02040816326530612,0.0,1.0,10,0101010101,-1.4217305047510524,-1.4421386680163586,1
1.3061224489795917,0.02040816326530612,0.02040816326530612,0.0,1.0,10,1010101010,-1.4477149852558515,-1.4681231485211577,1
1.346938775510204,0.02040816326530612,0.02040816326530612,0.0,1.0,8,01010101,-1.4736994657606513,-1.4941076290259574,1
1.3877551020408163,0.02040816326530612,0.02040816326530612,0.0,1.0,10,1010101010,-1.4996839462654503,-1.5200921095307565,1
1.4285714285714284,0.02040816326530612,0.02040816326530612,0.0,1.0,6,101010,-1.5256684267702487,-1.5460765900355549,1
1.4693877551020407,0.02040816326530612,0.02040816326530612,0.0,1.0,6,101010,-1.5516529072750482,-1.5720610705403544,1
1.510204081632653,0.02040816326530612,0.02040816326530612,0.0,1.0,10,1010101010,-1.5776373877798482,-1.5980455510451543,1
1.5510204081632653,0.02040816326530612,0.02040816326530612,0.0,1.0,6,101010,-1.6036218682846464,-1.6240300315499525,1
1.5918367346938773,0.02040816326530612,0.02040816326530612,0.0,1.0,6,101010,-1.6296063487894457,-1.6500145120547518,1
1.6326530612244896,0.02040816326530612,0.02040816326530612,0.0,1.0,10,1010101010,-1.6555908292942454,-1.6759989925595515,1
1.673469387755102,0.02040816326530612,0.02040816326530612,0.0,1.0,10,1010101010,-1.6815753097990458,-1.701983473064352,1
1.7142857142857142,0.02040816326530612,0.02040816326530612,0.0,1.0,8,10101010,-1.707559790303844,-1.7279679535691501,1
1.7551020408163265,0.02040816326530612,0.02040816326530612,0.0,1.0,6,010101,-1.7335442708086435,-1.7539524340739496,1
1.7959183673469385,0.02040816326530612,0.02040816326530612,0.0,1.0,6,010101,-1.7595287513134426,-1.7799369145787487,1
1.8367346938775508,0.02040816326530612,0.02040816326530612,0.0,1.0,8,10101010,-1.785513231818242,-1.8059213950835482,1
1.8775510204081631,0.02040816326530612,0.02040816326530612,0.0,1.0,6,101010,-1.8114977123230402,-1.8319058755883464,1
1.9183673469387754,0.02040816326530612,0.02040816326530612,0.0,1.0,6,101010,-1.83748219282784,-1.8578903560931461,1
1.9591836734693877,0.02040816326530612,0.02040816326530612,0.0,1.0,10,1010101010,-1.8634666733326393,-1.8838748365979454,1
2.0,0.02040816326530612,0.02040816326530612,0.0,1.0,6,010101,-1.8894511538374397,-1.9098593171027458,1
0.0,0.04081632653061224,-0.04081632653061224,1.0,0.0,10,0000000000,-0.6774360988981941,-0.6366197723675818,1
0.04081632653061224,0.04081632653061224,-0.04081632653061224,1.0,0.0,8,00000000,-0.6774360988981941,-0.6366197723675818,1
0.08163265306122448,0.04081632653061224,-0.04081632653061224,1.0,0.02040816326530612,7,0000000,-0.6774360988981941,-0.6366197723675818,1
0.12244897959183673,0.04081632653061224,-0.008163265306122448,0.3600000000000001,0.16000000000000003,10,1111110101,-0.6854763827227307,-0.6773131174166083,1
0.16326530612244897,0.04081632653061224,0.008163265306122448,0.16000000000000003,0.3600000000000001,10,1010111110,-0.7040364630654898,-0.7121997283716123,1
0.2040816326530612,0.04081632653061224,0.04081632653061224,0.0,1.0,8,01010101,-0.7257258483609655,-0.7665421748915778,1
