ground_J=0,-J_term,M^2,N,J,Delta,ground,index
-2.044107234222069,0.0,0.008264462809917356,11.0,0.0,0.040816326530612235,-2.044107234222069,10101010101
-2.0,-0.22448979591836726,1.0,11.0,0.020408163265306117,0.040816326530612235,-2.2244897959183665,11111111111
-2.0,-0.4489795918367345,1.0,11.0,0.040816326530612235,0.040816326530612235,-2.4489795918367347,11111111111
-2.0000000000000004,-0.6734693877551021,1.0,11.0,0.061224489795918366,0.040816326530612235,-2.6734693877551026,11111111111
-2.0,-0.8979591836734693,1.0,11.0,0.08163265306122447,0.040816326530612235,-2.8979591836734686,00000000000
-2.0000000000000004,-1.1224489795918366,1.0,11.0,0.1020408163265306,0.040816326530612235,-3.1224489795918373,00000000000
-2.000000000000001,-1.3469387755102042,1.0,11.0,0.12244897959183673,0.040816326530612235,-3.346938775510205,11111111111
-2.000000000000001,-1.5714285714285714,1.0,11.0,0.14285714285714285,0.040816326530612235,-3.571428571428572,00000000000
-2.0000000000000004,-1.7959183673469383,1.0,11.0,0.16326530612244894,0.040816326530612235,-3.795918367346939,11111111111
-2.000000000000001,-2.020408163265306,1.0,11.0,0.18367346938775508,0.040816326530612235,-4.020408163265306,00000000000
