ground_J=0,-J_term,M^2,N,J,Delta,ground,index
-2.0,-10.285714285714283,1.0,12.0,0.8571428571428571,0.0,-12.285714285714285,111111111111
-2.0000000000000013,-10.530612244897961,1.0,12.0,0.8775510204081632,0.0,-12.530612244897961,111111111111
-2.0000000000000004,-10.77551020408163,1.0,12.0,0.8979591836734693,0.0,-12.77551020408163,111111111111
-2.0000000000000013,-11.020408163265305,1.0,12.0,0.9183673469387754,0.0,-13.020408163265307,111111111111
-2.0000000000000018,-11.265306122448981,1.0,12.0,0.9387755102040816,0.0,-13.265306122448981,111111111111
-2.0,-11.510204081632653,1.0,12.0,0.9591836734693876,0.0,-13.510204081632653,111111111111
-2.0000000000000018,-11.755102040816324,1.0,12.0,0.9795918367346941,0.0,-13.755102040816329,111111111111
-2.0,-12.0,1.0,12.0,1.0,0.0,-14.0,111111111111
-2.0816326530612232,0.0,0.0,12.0,0.0,0.040816326530612235,-2.0816326530612232,010101010101
-2.000000000000004,-0.24489795918367346,1.0,12.0,0.020408163265306117,0.040816326530612235,-2.244897959183677,111111111111
-2.000000000000001,-0.4897959183673469,1.0,12.0,0.040816326530612235,0.040816326530612235,-2.489795918367348,111111111111
-2.0000000000000004,-0.7346938775510203,1.0,12.0,0.061224489795918366,0.040816326530612235,-2.734693877551021,000000000000
-2.0,-0.9795918367346941,1.0,12.0,0.08163265306122447,0.040816326530612235,-2.9795918367346936,111111111111
-2.0000000000000004,-1.2244897959183672,1.0,12.0,0.1020408163265306,0.040816326530612235,-3.2244897959183683,111111111111
-2.000000000000001,-1.4693877551020411,1.0,12.0,0.12244897959183673,0.040816326530612235,-3.4693877551020416,111111111111
-2.000000000000001,-1.7142857142857142,1.0,12.0,0.14285714285714285,0.040816326530612235,-3.7142857142857153,111111111111
-2.0000000000000044,-1.9591836734693882,1.0,12.0,0.16326530612244894,0.040816326530612235,-3.959183673469392,111111111111
-2.0000000000000018,-2.204081632653061,1.0,12.0,0.18367346938775508,0.040816326530612235,-4.204081632653063,111111111111
-2.000000000000002,-2.4489795918367343,1.0,12.0,0.2040816326530612,0.040816326530612235,-4.4489795918367365,000000000000
-2.0000000000000004,-2.6938775510204085,1.0,12.0,0.22448979591836726,0.040816326530612235,-4.6938775510204085,111111111111
-2.000000000000001,-2.9387755102040813,1.0,12.0,0.24489795918367346,0.040816326530612235,-4.938775510204082,000000000000
-2.000000000000001,-3.183673469387754,1.0,12.0,0.26530612244897955,0.040816326530612235,-5.183673469387756,111111111111
-2.0000000000000013,-3.4285714285714284,1.0,12.0,0.2857142857142857,0.040816326530612235,-5.428571428571429,000000000000
-2.000000000000001,-3.6734693877551017,1.0,12.0,0.3061224489795918,0.040816326530612235,-5.673469387755104,111111111111
-2.000000000000001,-3.9183673469387763,1.0,12.0,0.32653061224489793,0.040816326530612235,-5.918367346938775,000000000000
-2.0,-4.163265306122448,1.0,12.0,0.3469387755102041,0.040816326530612235,-6.16326530612245,111111111111
-2.000000000000001,-4.408163265306122,1.0,12.0,0.36734693877551017,0.040816326530612235,-6.408163265306122,000000000000
-2.0,-4.653061224489796,1.0,12.0,0.3877551020408163,0.040816326530612235,-6.653061224489796,111111111111
-2.0000000000000013,-4.897959183673469,1.0,12.0,0.4081632653061224,0.040816326530612235,-6.8979591836734695,111111111111
-2.0,-5.1428571428571415,1.0,12.0,0.42857142857142855,0.040816326530612235,-7.142857142857142,111111111111
-2.0000000000000004,-5.387755102040815,1.0,12.0,0.4489795918367345,0.040816326530612235,-7.387755102040815,111111111111
-2.0000000000000013,-5.632653061224492,1.0,12.0,0.4693877551020408,0.040816326530612235,-7.632653061224492,000000000000
-2.000000000000001,-5.877551020408162,1.0,12.0,0.4897959183673469,0.040816326530612235,-7.877551020408164,111111111111
-2.0000000000000013,-6.122448979591838,1.0,12.0,0.5102040816326531,0.040816326530612235,-8.122448979591839,111111111111
-2.000000000000001,-6.367346938775508,1.0,12.0,0.5306122448979591,0.040816326530612235,-8.36734693877551,000000000000
-2.0000000000000004,-6.612244897959182,1.0,12.0,0.5510204081632653,0.040816326530612235,-8.612244897959183,111111111111
-2.0,-6.857142857142858,1.0,12.0,0.5714285714285714,0.040816326530612235,-8.857142857142858,111111111111
-2.0000000000000004,-7.1020408163265305,1.0,12.0,0.5918367346938775,0.040816326530612235,-9.102040816326527,111111111111
-2.0,-7.346938775510202,1.0,12.0,0.6122448979591836,0.040816326530612235,-9.346938775510203,111111111111
-2.0000000000000013,-7.591836734693876,1.0,12.0,0.6326530612244897,0.040816326530612235,-9.591836734693876,111111111111
-2.0,-7.83673469387755,1.0,12.0,0.6530612244897959,0.040816326530612235,-9.83673469387755,000000000000
-2.0000000000000018,-8.081632653061224,1.0,12.0,0.6734693877551021,0.040816326530612235,-10.081632653061224,000000000000
-2.0,-8.326530612244897,1.0,12.0,0.6938775510204082,0.040816326530612235,-10.326530612244898,111111111111
-2.0000000000000013,-8.571428571428571,1.0,12.0,0.7142857142857142,0.040816326530612235,-10.571428571428571,111111111111
-2.0000000000000013,-8.816326530612244,1.0,12.0,0.7346938775510203,0.040816326530612235,-10.816326530612248,111111111111
-2.0000000000000018,-9.06122448979592,1.0,12.0,0.7551020408163265,0.040816326530612235,-11.06122448979592,000000000000
-2.000000000000002,-9.306122448979592,1.0,12.0,0.7755102040816326,0.040816326530612235,-11.306122448979592,111111111111
-2.0,-9.551020408163264,1.0,12.0,0.7959183673469387,0.040816326530612235,-11.551020408163266,111111111111
-2.0000000000000018,-9.795918367346935,1.0,12.0,0.8163265306122448,0.040816326530612235,-11.79591836734694,111111111111
-2.000000000000003,-10.040816326530612,1.0,12.0,0.836734693877551,0.040816326530612235,-12.040816326530615,000000000000
-2.000000000000001,-10.285714285714283,1.0,12.0,0.8571428571428571,0.040816326530612235,-12.285714285714285,111111111111
-2.0,-10.530612244897961,1.0,12.0,0.8775510204081632,0.040816326530612235,-12.530612244897961,111111111111
-2.0,-10.77551020408163,1.0,12.0,0.8979591836734693,0.040816326530612235,-12.77551020408163,111111111111
-2.0,-11.020408163265305,1.0,12.0,0.9183673469387754,0.040816326530612235,-13.020408163265305,111111111111
-2.000000000000001,-11.265306122448981,1.0,12.0,0.9387755102040816,0.040816326530612235,-13.265306122448981,111111111111
-2.0000000000000027,-11.510204081632653,1.0,12.0,0.9591836734693876,0.040816326530612235,-13.510204081632654,111111111111
-2.0000000000000013,-11.755102040816324,1.0,12.0,0.9795918367346941,0.040816326530612235,-13.755102040816329,111111111111
-2.0000000000000013,-12.0,1.0,12.0,1.0,0.040816326530612235,-14.000000000000002,111111111111
-2.1632653061224487,0.0,0.0,12.0,0.0,0.08163265306122447,-2.1632653061224487,010101010101
-2.0,-0.24489795918367346,1.0,12.0,0.020408163265306117,0.08163265306122447,-2.2448979591836733,111111111111
-2.000000000000001,-0.4897959183673469,1.0,12.0,0.040816326530612235,0.08163265306122447,-2.489795918367348,111111111111
-2.0000000000000013,-0.7346938775510203,1.0,12.0,0.061224489795918366,0.08163265306122447,-2.7346938775510217,000000000000
-2.0,-0.9795918367346941,1.0,12.0,0.08163265306122447,0.08163265306122447,-2.9795918367346936,111111111111
-2.0000000000000004,-1.2244897959183672,1.0,12.0,0.1020408163265306,0.08163265306122447,-3.2244897959183683,111111111111
-2.0000000000000013,-1.4693877551020411,1.0,12.0,0.12244897959183673,0.08163265306122447,-3.469387755102042,000000000000
-2.0,-1.7142857142857142,1.0,12.0,0.14285714285714285,0.08163265306122447,-3.7142857142857135,111111111111
-2.0000000000000004,-1.9591836734693882,1.0,12.0,0.16326530612244894,0.08163265306122447,-3.959183673469388,000000000000
-2.0000000000000004,-2.204081632653061,1.0,12.0,0.18367346938775508,0.08163265306122447,-4.204081632653061,111111111111
-2.0,-2.4489795918367343,1.0,12.0,0.2040816326530612,0.08163265306122447,-4.448979591836733,111111111111
-2.0000000000000018,-2.6938775510204085,1.0,12.0,0.22448979591836726,0.08163265306122447,-4.693877551020409,111111111111
-2.000000000000001,-2.9387755102040813,1.0,12.0,0.24489795918367346,0.08163265306122447,-4.938775510204082,111111111111
-2.0000000000000004,-3.183673469387754,1.0,12.0,0.26530612244897955,0.08163265306122447,-5.183673469387755,000000000000
-2.0000000000000018,-3.4285714285714284,1.0,12.0,0.2857142857142857,0.08163265306122447,-5.428571428571432,000000000000
-2.0000000000000013,-3.6734693877551017,1.0,12.0,0.3061224489795918,0.08163265306122447,-5.6734693877551035,111111111111
-2.0000000000000013,-3.9183673469387763,1.0,12.0,0.32653061224489793,0.08163265306122447,-5.918367346938775,000000000000
-2.0000000000000004,-4.163265306122448,1.0,12.0,0.3469387755102041,0.08163265306122447,-6.16326530612245,111111111111
-2.000000000000001,-4.408163265306122,1.0,12.0,0.36734693877551017,0.08163265306122447,-6.408163265306122,111111111111
-2.0000000000000027,-4.653061224489796,1.0,12.0,0.3877551020408163,0.08163265306122447,-6.6530612244897975,111111111111
-2.0000000000000013,-4.897959183673469,1.0,12.0,0.4081632653061224,0.08163265306122447,-6.8979591836734695,111111111111
-2.0000000000000004,-5.1428571428571415,1.0,12.0,0.42857142857142855,0.08163265306122447,-7.142857142857142,111111111111
-2.0000000000000004,-5.387755102040815,1.0,12.0,0.4489795918367345,0.08163265306122447,-7.387755102040815,000000000000
-2.0000000000000004,-5.632653061224492,1.0,12.0,0.4693877551020408,0.08163265306122447,-7.632653061224492,111111111111
-2.0000000000000004,-5.877551020408162,1.0,12.0,0.4897959183673469,0.08163265306122447,-7.877551020408162,111111111111
-2.0000000000000027,-6.122448979591838,1.0,12.0,0.5102040816326531,0.08163265306122447,-8.122448979591839,000000000000
-2.0000000000000004,-6.367346938775508,1.0,12.0,0.5306122448979591,0.08163265306122447,-8.36734693877551,111111111111
-2.0000000000000013,-6.612244897959182,1.0,12.0,0.5510204081632653,0.08163265306122447,-8.612244897959185,111111111111
-2.000000000000001,-6.857142857142858,1.0,12.0,0.5714285714285714,0.08163265306122447,-8.857142857142858,000000000000
-2.000000000000002,-7.1020408163265305,1.0,12.0,0.5918367346938775,0.08163265306122447,-9.102040816326534,111111111111
-2.000000000000001,-7.346938775510202,1.0,12.0,0.6122448979591836,0.08163265306122447,-9.346938775510203,111111111111
-2.0000000000000004,-7.591836734693876,1.0,12.0,0.6326530612244897,0.08163265306122447,-9.591836734693876,111111111111
