2019-09-09 16:02:20,842 - Saving N = 5, h = 0.44, Delta = 1.3775510204081631, J = 0, t=1
2019-09-09 16:02:20,921 - Successful N = 5, h = 0.44, Delta = 1.3979591836734693, J = 0, t=1
2019-09-09 16:02:20,921 - Saving N = 5, h = 0.44, Delta = 1.3979591836734693, J = 0, t=1
2019-09-09 16:02:20,993 - Successful N = 5, h = 0.44, Delta = 1.4183673469387754, J = 0, t=1
2019-09-09 16:02:20,993 - Saving N = 5, h = 0.44, Delta = 1.4183673469387754, J = 0, t=1
2019-09-09 16:02:21,064 - Successful N = 5, h = 0.44, Delta = 1.4387755102040816, J = 0, t=1
2019-09-09 16:02:21,064 - Saving N = 5, h = 0.44, Delta = 1.4387755102040816, J = 0, t=1
2019-09-09 16:02:21,135 - Successful N = 5, h = 0.44, Delta = 1.4591836734693877, J = 0, t=1
2019-09-09 16:02:21,135 - Saving N = 5, h = 0.44, Delta = 1.4591836734693877, J = 0, t=1
2019-09-09 16:02:21,205 - Successful N = 5, h = 0.44, Delta = 1.4795918367346939, J = 0, t=1
2019-09-09 16:02:21,206 - Saving N = 5, h = 0.44, Delta = 1.4795918367346939, J = 0, t=1
2019-09-09 16:02:21,277 - Successful N = 5, h = 0.44, Delta = 1.5, J = 0, t=1
2019-09-09 16:02:21,277 - Saving N = 5, h = 0.44, Delta = 1.5, J = 0, t=1
2019-09-09 16:02:21,389 - Successful N = 6, h = 0.44, Delta = 0.5, J = 0, t=1
2019-09-09 16:02:21,389 - Saving N = 6, h = 0.44, Delta = 0.5, J = 0, t=1
2019-09-09 16:02:21,500 - Successful N = 6, h = 0.44, Delta = 0.5204081632653061, J = 0, t=1
2019-09-09 16:02:21,500 - Saving N = 6, h = 0.44, Delta = 0.5204081632653061, J = 0, t=1
2019-09-09 16:02:21,611 - Successful N = 6, h = 0.44, Delta = 0.5408163265306123, J = 0, t=1
2019-09-09 16:02:21,611 - Saving N = 6, h = 0.44, Delta = 0.5408163265306123, J = 0, t=1
2019-09-09 16:02:21,722 - Successful N = 6, h = 0.44, Delta = 0.5612244897959183, J = 0, t=1
2019-09-09 16:02:21,722 - Saving N = 6, h = 0.44, Delta = 0.5612244897959183, J = 0, t=1
2019-09-09 16:02:21,833 - Successful N = 6, h = 0.44, Delta = 0.5816326530612245, J = 0, t=1
2019-09-09 16:02:21,833 - Saving N = 6, h = 0.44, Delta = 0.5816326530612245, J = 0, t=1
2019-09-09 16:02:21,947 - Successful N = 6, h = 0.44, Delta = 0.6020408163265306, J = 0, t=1
2019-09-09 16:02:21,947 - Saving N = 6, h = 0.44, Delta = 0.6020408163265306, J = 0, t=1
2019-09-09 16:02:22,059 - Successful N = 6, h = 0.44, Delta = 0.6224489795918368, J = 0, t=1
2019-09-09 16:02:22,059 - Saving N = 6, h = 0.44, Delta = 0.6224489795918368, J = 0, t=1
2019-09-09 16:02:22,170 - Successful N = 6, h = 0.44, Delta = 0.6428571428571428, J = 0, t=1
