Delta,J,J_term,M^2,Ms^2,N,binary,ground,t
1.3877551020408163,0.0,-0.0,1.0,0.0,6,111111,-2.4022540049371623,1
1.4285714285714284,0.0,-0.0,1.0,0.0,6,111111,-2.4458611135494657,1
1.4693877551020407,0.0,-0.0,1.0,0.0,6,111111,-2.4896436122795826,1
1.510204081632653,0.0,-0.0,1.0,0.0,6,111111,-2.5335891615811374,1
1.5510204081632653,0.0,-0.0,1.0,0.0,6,111111,-2.5776865130217557,1
1.5918367346938773,0.0,-0.0,1.0,0.0,6,111111,-2.6219253957540127,1
1.6326530612244896,0.0,-0.0,1.0,0.0,6,111111,-2.666296416281671,1
1.673469387755102,0.0,-0.0,1.0,0.0,6,111111,-2.7107909698298456,1
1.7142857142857142,0.0,-0.0,1.0,0.0,6,111111,-2.7554011618534537,1
1.7551020408163265,0.0,-0.0,1.0,0.0,6,111111,-2.800119738413956,1
1.7959183673469385,0.0,-0.0,1.0,0.0,6,111111,-2.844940024323266,1
1.8367346938775508,0.0,-0.0,1.0,0.0,6,111111,-2.889855868099835,1
1.8775510204081631,0.0,-0.0,1.0,0.0,6,111111,-2.934861592907667,1
1.9183673469387754,0.0,-0.0,1.0,0.0,6,111111,-2.9799519527577822,1
1.9591836734693877,0.0,-0.0,1.0,0.0,6,111111,-3.0251220933452743,1
2.0,0.0,-0.0,1.0,0.0,6,111111,-3.0703675169759888,1
0.0,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.3537414965986376,1
0.04081632653061224,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.3554053926974206,1
0.08163265306122448,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.3603724098861811,1
0.12244897959183673,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.3685703285098314,1
0.16326530612244897,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.3798844656584475,1
0.2040816326530612,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.3941652495339458,1
0.24489795918367346,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.411237190866462,1
0.2857142857142857,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.4309081323992716,1
0.32653061224489793,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.4529778473489814,1
0.36734693877551017,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.4772453657540991,1
0.4081632653061224,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.503514731356597,1
0.44897959183673464,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.5315991593381475,1
0.4897959183673469,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.561323745655364,1
0.5306122448979591,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.592526973168697,1
0.5714285714285714,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.6250612872458858,1
0.6122448979591836,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.6587929978595413,1
0.6530612244897959,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.6936017272479815,1
0.6938775510204082,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.7293795768867906,1
0.7346938775510203,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.766030143831663,1
0.7755102040816326,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.8034674788795058,1
0.8163265306122448,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.8416150489021368,1
0.8571428571428571,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.880404742897844,1
0.8979591836734693,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.9197759447617084,1
0.9387755102040816,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-1.9596746842419148,1
0.9795918367346939,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.0000528698247866,1
1.0204081632653061,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.040867602351644,1
1.0612244897959182,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.082080565201395,1
1.1020408163265305,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.1236574852558143,1
1.1428571428571428,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.165567658147211,1
1.183673469387755,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.2077835311480754,1
1.2244897959183672,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.2502803372753655,1
1.2653061224489794,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.293035774596236,1
1.3061224489795917,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.3360297252365823,1
1.346938775510204,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.379244009143972,1
1.3877551020408163,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.4226621682024683,1
1.4285714285714284,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.4662692768147716,1
1.4693877551020407,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.5100517755448886,1
1.510204081632653,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.5539973248464434,1
1.5510204081632653,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.5980946762870616,1
1.5918367346938773,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.6423335590193187,1
1.6326530612244896,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.686704579546977,1
1.673469387755102,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.7311991330951515,1
1.7142857142857142,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,-2.7758093251187597,1
