Delta,E_N,J,J_term,M^2,Ms^2,N,binary,h,t
0.7346938775510203,-0.8932191535484846,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.7755102040816326,-0.911937821072406,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.8163265306122448,-0.9310116060837215,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.8571428571428571,-0.9504064530815751,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.8979591836734693,-0.9700920540135073,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.9387755102040816,-0.9900414237536105,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.9795918367346939,-1.0102305165450465,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.0204081632653061,-1.0306378828084752,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.0612244897959182,-1.0512443642333507,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.1020408163265305,-1.0720328242605603,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.1428571428571428,-1.0929879107062588,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.183673469387755,-1.1140958472066909,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.2244897959183672,-1.135344250270336,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.2653061224489794,-1.1567219689307713,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.3061224489795917,-1.1782189442509443,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.346938775510204,-1.1998260862046393,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.3877551020408163,-1.2215351657338873,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.4285714285714284,-1.243338720040039,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.4693877551020407,-1.2652299694050975,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.510204081632653,-1.2872027440558749,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.5510204081632653,-1.309251419776184,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.5918367346938773,-1.3313708611423125,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.6326530612244896,-1.3535563714061416,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.673469387755102,-1.375803648180229,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.7142857142857142,-1.398108744192033,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.7551020408163265,-1.420468032472284,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.7959183673469385,-1.442878175426939,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.8367346938775508,-1.4653360973152236,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.8775510204081631,-1.4878389597191397,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.9183673469387754,-1.5103841396441973,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
1.9591836734693877,-1.5329692099379433,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
2.0,-1.5555919217533005,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.0,-0.707482993197278,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.04081632653061224,-0.7083149412466695,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.08163265306122448,-0.7107984498410498,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.12244897959183673,-0.7148974091528749,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.16326530612244897,-0.720554477727183,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.2040816326530612,-0.7276948696649321,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.24489795918367346,-0.7362308403311902,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.2857142857142857,-0.746066311097595,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.32653061224489793,-0.7571011685724499,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.36734693877551017,-0.7692349277750088,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.4081632653061224,-0.7823696105762578,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.44897959183673464,-0.796411824567033,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.4897959183673469,-0.8112741177256412,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.5306122448979591,-0.8268757314823078,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.5714285714285714,-0.8431428885209021,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.6122448979591836,-0.8600087438277298,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.6530612244897959,-0.87741310852195,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.6938775510204082,-0.8953020333413545,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.7346938775510203,-0.9136273168137907,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.7755102040816326,-0.9323459843377121,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.8163265306122448,-0.9514197693490276,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.8571428571428571,-0.9708146163468813,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.8979591836734693,-0.9905002172788134,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.9387755102040816,-1.0104495870189165,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
0.9795918367346939,-1.0306386798103526,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
1.0204081632653061,-1.0510460460737814,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
1.0612244897959182,-1.0716525274986568,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
1.1020408163265305,-1.0924409875258665,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
1.1428571428571428,-1.113396073971565,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
1.183673469387755,-1.134504010471997,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
1.2244897959183672,-1.155752413535642,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
1.2653061224489794,-1.1771301321960774,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
1.3061224489795917,-1.1986271075162505,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
1.346938775510204,-1.2202342494699454,0.04081632653061224,-0.04081632653061224,1.0,0.0,6,111111,0,1
