,ground_J=0,-J_term,M^2,N,J,Delta,Ms,ground,index
327680,-2.0000000000000013,-4.897959183673469,1.0,8.0,0.6122448979591836,0.0,0.0,-6.8979591836734695,00000000
327936,-2.0000000000000004,-5.061224489795918,1.0,8.0,0.6326530612244897,0.0,0.0,-7.061224489795919,00000000
328192,-2.0000000000000013,-5.224489795918367,1.0,8.0,0.6530612244897959,0.0,0.0,-7.224489795918367,11111111
328448,-2.0,-5.387755102040817,1.0,8.0,0.6734693877551021,0.0,0.0,-7.387755102040815,11111111
328704,-2.0000000000000004,-5.551020408163265,1.0,8.0,0.6938775510204082,0.0,0.0,-7.551020408163266,00000000
328960,-2.0,-5.7142857142857135,1.0,8.0,0.7142857142857142,0.0,0.0,-7.7142857142857135,11111111
329217,-2.000000000000001,-5.877551020408162,1.0,8.0,0.7346938775510203,0.0,0.0,-7.8775510204081645,11111111
329472,-2.000000000000001,-6.040816326530613,1.0,8.0,0.7551020408163265,0.0,0.0,-8.040816326530612,00000000
329728,-2.0,-6.204081632653061,1.0,8.0,0.7755102040816326,0.0,0.0,-8.204081632653061,11111111
329984,-2.000000000000001,-6.367346938775508,1.0,8.0,0.7959183673469387,0.0,0.0,-8.36734693877551,11111111
330240,-2.0000000000000004,-6.530612244897957,1.0,8.0,0.8163265306122448,0.0,0.0,-8.530612244897961,11111111
330496,-2.0000000000000013,-6.693877551020408,1.0,8.0,0.836734693877551,0.0,0.0,-8.693877551020408,11111111
330752,-2.000000000000001,-6.857142857142858,1.0,8.0,0.8571428571428571,0.0,0.0,-8.857142857142858,11111111
331008,-2.000000000000001,-7.020408163265307,1.0,8.0,0.8775510204081632,0.0,0.0,-9.020408163265307,00000000
331264,-2.000000000000001,-7.183673469387754,1.0,8.0,0.8979591836734693,0.0,0.0,-9.183673469387756,11111111
331520,-2.0000000000000004,-7.3469387755102025,1.0,8.0,0.9183673469387754,0.0,0.0,-9.346938775510203,11111111
331776,-2.0,-7.5102040816326525,1.0,8.0,0.9387755102040816,0.0,0.0,-9.510204081632653,11111111
332032,-2.000000000000002,-7.6734693877551035,1.0,8.0,0.9591836734693876,0.0,0.0,-9.673469387755103,11111111
332288,-2.000000000000001,-7.83673469387755,1.0,8.0,0.979591836734694,0.0,0.0,-9.836734693877553,00000000
332544,-2.0000000000000013,-8.0,1.0,8.0,1.0,0.0,0.0,-10.000000000000002,00000000
332800,-2.0816326530612246,0.0,0.0,8.0,0.0,0.040816326530612235,1.0,-2.0816326530612246,01010101
333056,-2.000000000000001,-0.16326530612244894,1.0,8.0,0.020408163265306117,0.040816326530612235,0.0,-2.16326530612245,11111111
333312,-2.0000000000000013,-0.32653061224489793,1.0,8.0,0.040816326530612235,0.040816326530612235,0.0,-2.3265306122448988,00000000
333568,-2.0000000000000004,-0.4897959183673469,1.0,8.0,0.061224489795918366,0.040816326530612235,0.0,-2.4897959183673475,11111111
333824,-2.000000000000001,-0.6530612244897959,1.0,8.0,0.08163265306122447,0.040816326530612235,0.0,-2.6530612244897966,11111111
334080,-2.0000000000000004,-0.8163265306122448,1.0,8.0,0.1020408163265306,0.040816326530612235,0.0,-2.8163265306122454,11111111
334336,-2.000000000000001,-0.979591836734694,1.0,8.0,0.12244897959183673,0.040816326530612235,0.0,-2.979591836734695,00000000
334592,-2.000000000000001,-1.1428571428571428,1.0,8.0,0.14285714285714285,0.040816326530612235,0.0,-3.142857142857144,11111111
334848,-2.0000000000000004,-1.3061224489795915,1.0,8.0,0.16326530612244894,0.040816326530612235,0.0,-3.3061224489795924,11111111
335104,-2.0000000000000004,-1.469387755102041,1.0,8.0,0.18367346938775508,0.040816326530612235,0.0,-3.4693877551020407,00000000
335360,-2.0000000000000004,-1.6326530612244896,1.0,8.0,0.2040816326530612,0.040816326530612235,0.0,-3.6326530612244903,11111111
335616,-2.0000000000000004,-1.7959183673469383,1.0,8.0,0.22448979591836726,0.040816326530612235,0.0,-3.795918367346939,00000000
335872,-2.0000000000000004,-1.959183673469388,1.0,8.0,0.24489795918367346,0.040816326530612235,0.0,-3.9591836734693877,11111111
