Delta,J,J_term,M^2,Ms^2,N,binary,ground,t
0.44897959183673464,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.5223155689891392,1
0.4897959183673469,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.554241202734308,1
0.5306122448979591,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.5872355777079497,1
0.5714285714285714,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.6212014651645275,1
0.6122448979591836,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.6560553446281658,1
0.6530612244897959,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.691724579966287,1
0.6938775510204082,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.7281453533027424,1
0.7346938775510203,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.7652611243212397,1
0.7755102040816326,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.8030214568971707,1
0.8163265306122448,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.841381105931206,1
0.8571428571428571,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.8802992916091914,1
0.8979591836734693,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.9197391113194726,1
0.9387755102040816,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.9596670548398576,1
0.9795918367346939,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.0000525987083297,1
1.0204081632653061,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.04086786262508,1
1.0612244897959182,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.0820873154353188,1
1.1020408163265305,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.123687521464165,1
1.1428571428571428,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.1656469202117603,1
1.183673469387755,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.2079456339947847,1
1.2244897959183672,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.2505652992545193,1
1.2653061224489794,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-2.293488918083444,1
